area_name,year,analysis
NH-8,2019,Built-up area: 19.1% (low growth class) | Built-up increased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.48) | Night-time light intensity is low (2.3)
NH-8,2020,Built-up area: 18.4% (low growth class) | Built-up decreased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (2.1)
NH-8,2021,Built-up area: 19.0% (low growth class) | Built-up increased by 0.7 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (2.2)
NH-8,2022,Built-up area: 19.0% (low growth class) | Built-up decreased by 0.0 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.48) | Night-time light intensity is low (2.5)
NH-8,2023,Built-up area: 19.7% (low growth class) | Built-up increased by 0.7 percentage points from previous year. | Vegetation cover is high (NDVI 0.51) | Night-time light intensity is low (2.6)
NH-8,2024,Built-up area: 19.4% (low growth class) | Built-up decreased by 0.3 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.47) | Night-time light intensity is low (2.8)
Nabhoi,2016,Built-up area: 14.7% (low growth class) | First historical year available. | Vegetation cover is low (NDVI 0.22) | Night-time light intensity is low (3.1)
Nabhoi,2017,Built-up area: 16.3% (low growth class) | Built-up increased by 1.5 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.45) | Night-time light intensity is low (3.7)
Nabhoi,2018,Built-up area: 19.4% (low growth class) | Built-up increased by 3.2 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.42) | Night-time light intensity is low (3.9)
Nabhoi,2019,Built-up area: 17.9% (medium growth class) | Built-up decreased by 1.5 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.37) | Night-time light intensity is low (4.6)
Nabhoi,2020,Built-up area: 18.3% (low growth class) | Built-up increased by 0.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.43) | Night-time light intensity is low (4.3)
Nabhoi,2021,Built-up area: 18.3% (low growth class) | Built-up decreased by 0.1 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.42) | Night-time light intensity is low (6.5)
Nabhoi,2022,Built-up area: 19.6% (low growth class) | Built-up increased by 1.4 percentage points from previous year. | Vegetation cover is moderate (NDVI 0.43) | Night-time light intensity is low (7.8)
